date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-04-06,18.03,18.14,17.94,17.87,234287.23,-0.23,-1.27,18.02,17.859,17.808,322331.64,273736.92,465470.34,0.13
2016-04-05,17.94,18.29,18.17,17.76,426222.97,-0.01,-0.06,17.922,17.88,17.774,313776.5,294069.01,477337.41,0.23
2016-04-01,17.98,18.25,18.18,17.61,357905.41,0.25,1.39,17.78,17.87,17.697,277575.29,293448.24,469915.85,0.19
2016-03-31,17.98,18.08,17.93,17.72,237621.12,0.06,0.34,17.692,17.84,17.626,233232.58,313645.67,464711.07,0.13
2016-03-30,17.65,17.95,17.88,17.65,355621.47,0.43,2.46,17.648,17.818,17.554,240604.9,358519.37,467399.82,0.19
2016-03-29,17.53,17.66,17.45,17.37,191511.52,0.0,0.0,17.698,17.833,17.505,225142.19,431361.6,473333.24,0.1
2016-03-28,17.78,18.0,17.46,17.37,245216.95,-0.28,-1.58,17.838,17.792,17.461,274361.51,449751.38,483208.76,0.13
2016-03-25,17.72,17.87,17.74,17.68,136191.84,0.02,0.11,17.96,17.732,17.423,309321.19,482151.92,493093.56,0.07
2016-03-24,18.11,18.11,17.71,17.68,274482.72,-0.42,-2.32,17.988,17.657,17.369,394058.76,566773.06,505423.85,0.15
2016-03-23,18.16,18.35,18.13,18.06,278307.94,-0.02,-0.11,17.988,17.732,17.335,476433.84,606621.11,503479.2,0.15
2016-03-22,18.09,18.63,18.15,18.02,437608.12,0.09,0.5,17.968,17.757,17.279,637581.0,657203.77,510567.47,0.23
2016-03-21,17.78,18.25,18.07,17.78,420015.31,0.23,1.29,17.746,17.668,17.2,625141.24,660605.82,505785.62,0.23
2016-03-18,17.79,18.0,17.88,17.65,559879.69,0.18,1.02,17.504,17.523,17.158,654982.65,646383.47,502769.17,0.3
2016-03-17,17.81,18.19,17.71,17.45,686358.12,-0.32,-1.77,17.326,17.411,17.152,739487.36,615776.48,489678.77,0.37
2016-03-16,16.92,18.07,18.03,16.91,1084043.75,1.01,5.93,17.476,17.29,17.151,736808.38,576280.26,471725.36,0.58
2016-03-15,16.95,17.19,17.04,16.81,375409.31,0.18,1.07,17.546,17.177,17.129,676826.54,515304.89,440884.74,0.2
2016-03-14,16.88,17.47,16.86,16.82,569222.38,-0.11,-0.65,17.59,17.13,17.173,696070.39,516666.14,449533.69,0.31
2016-03-11,17.51,17.53,16.99,16.61,982403.25,-1.46,-7.91,17.542,17.113,17.199,637784.29,504035.21,445007.23,0.53
2016-02-15,17.98,18.48,18.46,17.8,672963.19,0.08,0.43,17.496,17.08,17.223,492065.6,444074.65,423574.3,0.36
